S.No,District,Village Panchayat,School Name,School_id,Category of School,School medium,Pincode,School main area,School located in commerical area,establishment year,Number of Students,Number of Differently abled student,Number of Staff,Number of Classrooms,Number of seats,Number of restrooms,Total School area,Build up area,Extent of land covered by the school,Availabilty of eateries,Availabilty of Mobile eateries,Availabilty of Dining,Availabilty of Hospital,Availabilty of Fire station,Availabilty of Natural tank,Type of Water source,Number of Indian toilets availble for Boys,Number of Indian toilets availble for Girls,Status of the data set collected,Created_date,Modified_date
210,Coimbatore,Karumbu Kadai,CORPN PRIMARY SCHOOL,33120400501,Primary School,Tamil,641006,No,No,1921,549,5,15,20,0,2,9600,10100,500,No,No,Yes,Yes,No,No,Corporation,3,6,Incompleted,10-03-2013,10-03-2013
211,Coimbatore,Perur,CORPN PRIMARY SCHOOL AGRI CAMPUS,33120400701,Primary School,Tamil,641003,No,No,1965,68,3,3,5,150,0,39235,5023,34212,No,No,Yes,Yes,Yes,No,Corporation,0,1,Completed,10-03-2013,10-03-2013
212,Coimbatore,Telungupalayam,CORP ELE SCHOOL,33120400702,Primary School,Tamil,641039,No,No,1958,50,0,2,3,150,0,8040,4014,3767,No,No,No,Yes,Yes,No,Corporation,3,1,Completed,10-03-2013,10-03-2013
213,Coimbatore,Chokkampudur,CORPORATION PRIMARY SCHOOL CHOKKAMPUDUR,33120400704,Primary School,Tamil,641039,Yes,No,1926,83,2,3,6,0,6,9672,2672,7000,No,No,Yes,Yes,No,No,Corporation,2,2,Incompleted,10-03-2013,10-03-2013
214,Coimbatore,Telungupalayam,CORPORATION ELEMENTARY SCHOOL P N PUDUR,33120400803,Primary School,Tamil,641041,Yes,Yes,1963,254,2,8,10,300,0,4056,1556,2500,No,No,Yes,Yes,No,No,Corporation,2,2,Completed,10-03-2013,10-03-2013
215,Coimbatore,Venkittapuram,CORPORATION PRIMARY SCHOOL KOVILMEDU,33120400901,Primary School,Tamil,641025,No,No,2007,280,10,8,10,400,0,56888,17440,39448,No,No,Yes,Yes,No,No,Corporation,7,3,Completed,10-03-2013,10-03-2013
216,Coimbatore,Venkittapuram,CORPORATION HIGH SCHOOL,33120400902,Secondary School,Tamil,641025,No,No,1958,347,2,12,14,500,0,24717,16159,8557,No,No,Yes,Yes,No,No,Corporation,1,3,Completed,10-03-2013,10-03-2013
217,Coimbatore,Coimbatore,CORPN PRIMARY SCHOOL KK PUDUR,33120401101,Primary School,Tamil,641038,No,No,1985,221,0,8,18,300,0,15751,11251,3450,No,No,No,Yes,Yes,No,Corporation,1,4,Completed,10-03-2013,10-03-2013
218,Coimbatore,Kuppakonampudur,CORPORATION HIGH SCHOOL KK PUDUR,33120401102,Secondary School,Tamil,641038,Yes,Yes,1965,304,1,12,7,70,0,6025,3245,2780,No,No,No,Yes,Yes,Yes,Corporation,2,2,Incompleted,10-03-2013,10-03-2013
219,Coimbatore,Sanganur,CORPN PRIMAR SCHOOL NALLAMPALAYAM,33120401201,Primary School,Tamil,641006,No,No,1965,128,3,5,4,180,0,21108,9124,11984,No,No,Yes,Yes,Yes,No,Corporation,2,2,Completed,10-03-2013,10-03-2013
220,Coimbatore,Coimbatore,CORPORATION MIDDLE SCHOOL RAMASAMY NAGAR,33120401202,Primary School,Tamil,641030,Yes,Yes,1965,208,0,7,16,600,0,74052,9680,64372,No,No,Yes,Yes,Yes,No,Corporation,3,2,Completed,10-03-2013,10-03-2013
221,Coimbatore,Coimbatore,CORPORATION MIDDLE SCHOOL,33120401301,Secondary School,Tamil,641027,No,No,1966,661,6,20,20,800,2,7314,4564,2750,No,No,No,Yes,Yes,No,Corporation,3,19,Completed,10-03-2013,10-03-2013
222,Coimbatore,Sanganur,CORP ELE SCHOOL,33120401401,Primary School,Tamil,641027,No,No,1998,485,9,14,19,600,0,29065,5310,23755,No,No,No,Yes,No,No,Corporation,4,4,Completed,10-03-2013,10-03-2013
223,Coimbatore,Coimbatore,CORP HIGH SCHOOL MANIYAKARAMPALAYAM,33120401603,Secondary School,Tamil,641006,Yes,No,1959,435,0,15,12,500,4,36000,5730,29450,No,No,No,Yes,Yes,No,Corporation,2,9,Completed,10-03-2013,10-03-2013
224,Coimbatore,Uppilipalayam,CORP MIDDLE SCHOOL MASAKALIPALAYAM,33120500104,Primary School,Tamil,641015,Yes,No,2006,145,2,6,12,400,1,20420,13240,7180,Yes,No,No,Yes,Yes,No,Corporation,2,2,Completed,10-03-2013,10-03-2013
225,Coimbatore,Uppilipalayam,CORPORATION HIGH SCHOOL VARADARAJAPURAM,33120500123,Secondary School,Tamil,641015,No,Yes,1962,153,0,6,12,400,1,72000,3440,64000,No,No,Yes,Yes,No,No,Corporation,2,2,Completed,10-03-2013,10-03-2013
226,Coimbatore,Peelamadu,CORPORATION ELEMENTARY SCHOOL PEELAMEDU,33120500201,Primary School,Tamil,641004,No,Yes,1969,63,0,4,9,400,0,11000,6250,4750,No,No,No,Yes,No,No,Corporation,13,2,Completed,10-03-2013,10-03-2013
227,Coimbatore,Peelamadu,CORPN PRIMARY SCHOOL PEELAMEDU PUDUR,33120500202,Primary School,Tamil,641004,Yes,Yes,1970,39,4,3,5,100,0,6089,3260,2829,No,No,No,Yes,No,No,Corporation,4,1,Completed,10-03-2013,10-03-2013
228,Coimbatore,Peelamadu,CORP ELE SCHOOL,33120500206,Primary School,Tamil,641004,No,Yes,1985,57,1,3,6,100,0,1360,1000,350,No,No,Yes,Yes,No,No,Corporation,9,1,Completed,10-03-2013,10-03-2013
229,Coimbatore,Peelamadu,CORPORATION HIGHER SECONDARY SCHOOL,33120500212,High School,Tamil,641004,Yes,Yes,1929,668,2,22,15,40,2,108875,20295,51355,Yes,Yes,No,Yes,Yes,No,Corporation,2,10,Completed,10-03-2013,10-03-2013
230,Coimbatore,Sowripalayam,CORP ELE SCHOOL,33120500302,Primary School,Tamil,641028,No,No,1951,200,4,6,8,300,0,30945,7140,23805,No,No,No,Yes,No,No,Corporation,2,2,Completed,10-03-2013,10-03-2013
231,Coimbatore,Singanallur,CORPN PRIMARY SCHOOL KALLIMADAI,33120500405,Primary School,Tamil,641005,No,No,1970,134,1,4,9,200,0,22788,4309,17524,No,No,Yes,Yes,No,Yes,Corporation,3,1,Completed,10-03-2013,10-03-2013
232,Coimbatore,Singanallur,CORP PRIMARY SCHOOL ONDIPUDUR NORTH,33120500411,Primary School,Tamil,641016,Yes,Yes,1984,139,4,5,5,200,2,14816,12965,1851,No,No,Yes,No,No,No,Corporation,1,3,Completed,10-03-2013,10-03-2013
233,Coimbatore,Singanallur,CORPORATION MIDDLE SCHOOL KRISHNAPURAM,33120500413,Primary School,Tamil,641005,No,No,1979,343,0,11,11,400,0,44800,9996,11218,No,No,Yes,Yes,No,No,Corporation,1,2,Completed,10-03-2013,10-03-2013
234,Coimbatore,Peelamadu,CMS KRISNARAYAPURAM MIDDLE SCHOOL,33120500501,Primary School,Tamil,641006,No,Yes,1936,216,7,10,17,500,1,44380,38380,6000,No,No,Yes,Yes,Yes,Yes,Corporation,2,5,Completed,10-03-2013,10-03-2013
235,Coimbatore,Pollachi,"MUNICIPAL MIDDLE SCHOOL, Vadugapalayam,Pollachi",33121203001,Secondary School,Tamil,630002,No,No,1967,210,2,9,12,480,0,12000,4000,0,Yes,No,No,Yes,No,Yes,Municipality,2,3,Completed,10-03-2013,10-03-2013
236,Coimbatore,Pollachi,KOVAI ROAD MUNICIPAL ELE SCHOOL,33121203202,Primary School,Tamil,642001,Yes,Yes,1950,14,4,2,2,0,0,6168,5493,0,No,No,Yes,Yes,Yes,No,Municipality,2,1,Completed,10-03-2013,10-03-2013
237,Coimbatore,Pollachi,SAMATHUR RAMA IYENGAR MHSS,33121203401,High School,Tamil,642002,No,No,1943,404,0,20,20,500,2,414545,50000,364545,No,No,No,No,No,No,Corporation,3,3,Completed,10-03-2013,10-03-2013
238,Coimbatore,Pollachi,MUNICIPAL PRIMARY SCHOOL,33121203501,Primary School,Tamil,642002,No,No,1967,45,3,2,2,100,2,1500,1500,3000,No,No,No,Yes,Yes,Yes,Municipality,2,1,Completed,10-03-2013,10-03-2013
239,Coimbatore,Pollachi,MUNICIPAL ELE SCHOOL,33121203601,Primary School,Tamil,642001,Yes,No,1937,17,0,2,2,0,0,0,0,0,No,No,No,No,No,No,Municipality,6,0,Completed,10-03-2013,10-03-2013
240,Coimbatore,Pollachi,MUNICIPAL MIDDLE SCHOOL MARAPETTAI,33121203701,Secondary School,Tamil,642001,Yes,Yes,1925,84,0,7,6,4,4,6970,1530,440,No,No,No,Yes,Yes,No,Municipality,2,1,Completed,10-03-2013,10-03-2013
241,Coimbatore,Pollachi,MUNICIPAL MIDDLE SCHOOL B G PURAM,33121203801,Secondary School,Tamil,642001,Yes,Yes,2010,106,2,6,7,0,0,49108,10557,2000,Yes,No,Yes,Yes,Yes,No,Corporation,0,1,Completed,10-03-2013,10-03-2013
242,Coimbatore,Pollachi,MPL GIRLS HSS POLLACHI,33121203802,High School,Tamil,642001,Yes,Yes,1953,1700,0,65,47,1700,0,392040,1,1,Yes,No,No,Yes,Yes,Yes,Corporation,4,20,Incompleted,10-03-2013,10-03-2013
243,Coimbatore,Pollachi,V R I MPL MIDDLE SCHOOL,33121203902,Secondary School,Tamil,642001,Yes,No,1859,0,60,0,7,2,2,20765,6365,14400,No,No,No,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
244,Coimbatore,Pannam,MUNICIPAL BOYS HSS,33121204102,High School,Tamil,642001,Yes,No,1982,850,3,46,30,900,0,1456,0,0,No,No,No,Yes,Yes,No,Corporation,0,0,Incompleted,10-03-2013,10-03-2013
245,Coimbatore,Pollachi,KUMARAN NAGAR MPL ELE SCHOOL,33121204201,Primary School,Tamil,642001,No,No,1973,83,2,3,5,0,0,70971,2286,68685,Yes,No,Yes,No,No,No,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
246,Coimbatore,Pollachi,MPS ALAGAPURI STREET,33121204301,Primary School,Tamil,642001,No,No,1952,13,1,1,2,0,0,2800,1600,1200,No,No,No,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
247,Coimbatore,Pollachi,V S R A MUNICIPAL MIDDLE SCHOOL,33121204302,Secondary School,Tamil,642001,Yes,No,1963,90,3,7,16,180,1,17100,0,10026,Yes,No,Yes,Yes,Yes,No,Municipality,0,0,Completed,10-03-2013,10-03-2013
248,Coimbatore,Pollachi,ABT ROAD M M SCHOOL,33121204401,Secondary School,Tamil,642001,Yes,No,1967,65,1,4,9,1,0,1986,1200,1200,No,No,No,No,No,No,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
249,Coimbatore,Pollachi,M M S RAMAKRISHNA NAGAR,33121204701,Primary School,Tamil,642001,Yes,No,1951,343,0,0,10,0,0,9215,3865,0,No,No,No,No,No,No,Corporation,5,0,Incompleted,10-03-2013,10-03-2013
250,Coimbatore,Pollachi,CHCKN CHETTIAR MPL ELE SCHOOL,33121204801,Primary School,Tamil,642001,Yes,No,1921,30,2,2,4,0,0,6440,3240,0,No,No,No,Yes,Yes,No,Corporation,0,1,Incompleted,10-03-2013,10-03-2013
251,Thiruppur,Udumalpet,MUNICIPAL ELEMENTARY SCHOOL,33121302701,Primary School,Tamil,642126,Yes,Yes,2003,28,5,2,8,350,0,3500,3000,500,No,Yes,No,Yes,Yes,Yes,Municipality,1,1,Completed,10-03-2013,10-03-2013
252,Thiruppur,Udumalpet,MUNICIPAL PRIMARY SCHOOL,33121302702,Primary School,Tamil,642126,No,No,1944,73,2,3,4,0,0,2787,1443,1344,No,No,No,Yes,Yes,No,Municipality,0,2,Completed,10-03-2013,10-03-2013
253,Thiruppur,Udumalpet,MUNICIPAL ELEMENTARY SCHOOL,33121302703,Primary School,Tamil,642126,No,No,1926,10,0,2,3,2,2,900,900,0,No,No,No,Yes,Yes,No,Municipality,0,1,Completed,10-03-2013,10-03-2013
254,Thiruppur,Udumalpet,MUNICIPAL MIDDLE SCHOOL,33121302704,Primary School,Tamil,642126,No,Yes,1982,207,2,10,12,2,3,8400,6900,0,No,No,No,Yes,Yes,No,Municipality,0,1,Completed,10-03-2013,10-03-2013
255,Thiruppur,Udumalpet,MUNICIPAL ELEMENTARY SCHOOL,33121302706,Primary School,Tamil,642126,No,No,1960,43,0,0,5,100,0,5700,3200,1000,No,No,Yes,Yes,No,No,Municipality,1,2,Completed,10-03-2013,10-03-2013
